5234,606 
5124,6395 
1452,3760 
6609,551 
7230,3792 
5307,3133 
9078,1412 
8083,7900 
1128,8939 
5717,6497 
5258,9467 
6619,4028 
4054,9383 
5922,3955 
1603,7433 
8296,9217 
832,4792 
5080,3251 
8169,1263 
2751,3770 
2909,7028 
5994,1194 
6168,1412 
6920,1609 
1119,334 
4940,5848 
1634,6911 
6904,3849 
1229,5059 
7664,6737 
9487,548 
576,374 
9040,533 
9927,9647 
1870,9987 
2342,7900 
767,941 
5692,4343 
3526,5866 
2862,4277 
6330,2378 
7229,5943 
2958,4258 
5121,7578 
9245,8881 
3064,9149 
9729,5503 
4785,5845 
1701,8590 
1016,7902 
1491,2012 
255,4809 
3057,969 
4390,2892 
446,5588 
585,998 
772,8050 
7730,3259 
9250,5029 
1949,3325 
3261,8762 
7888,6825 
8110,6068 
3615,6907 
7740,5526 
4994,5516 
5509,8571 
649,7012 
5116,4509 
7844,231 
285,8117 
1512,9639 
6738,2858 
2906,5745 
7322,152 
923,9523 
8997,3641 
2239,2060 
7710,6593 
8029,6165 
2320,301 
2395,1866 
5138,712 
6070,804 
9769,1627 
614,8027 
7797,4881 
9149,2420 
7997,4832 
9651,3328 
6296,2277 
7959,1691 
9000,3574 
3693,1020 
9442,5114 
650,3567 
9963,4094 
1585,3072 
2548,6673 
7214,9213 
5782,5363 
9275,8600 
360,1498 
8324,6490 
4969,5088 
5289,989 
2816,8064 
6860,741 
8300,2586 
6772,2526 
41,1515 
3681,1608 
1195,9053 
4538,9831 
9464,3622 
5858,7262 
362,8640 
6397,8929 
8901,6969 
6729,2567 
9318,2270 
8054,5239 
5073,7137 
8210,8951 
6027,7014 
6780,6118 
6537,8221 
6728,1310 
7414,7693 
188,2902 
4378,485 
7915,8193 
6682,3041 
4078,4082 
1499,5479 
207,8302 
9212,7436 
7276,3842 
648,553 
9397,5186 
7372,4519 
4818,9972 
4436,3346 
2797,9599 
9857,4218 
9116,3897 
6962,6879 
9185,5806 
54,1809 
7092,1745 
6707,4455 
1447,1620 
3746,1853 
4570,8579 
2458,7984 
3443,6657 
8833,9928 
3848,1480 
1595,9824 
7411,6930 
2292,9768 
4643,1061 
9119,4153 
8911,5853 
8437,4882 
5751,1474 
3069,5169 
3646,718 
8127,1659 
5877,7933 
7840,3420 
5960,2563 
5931,8972 
3340,3421 
9324,754 
9516,7967 
4371,5474 
4906,1208 
4376,7360 
4396,5410 
2708,6553 
3549,487 
3678,6176 
209,8092 
9121,486 
1304,9796 
2809,67 
7733,1870 
9938,1483 
8418,2764 
4995,3234 
7728,6831 
1094,4284 
735,9049 
9716,7717 
903,4592 
9671,9546 
4214,1189 
2178,5906 
9336,8890 
1171,3389 
5341,3312 
6970,710 
8345,1884 
9121,5400 
1177,3442 
1666,1133 
839,5246 
8366,8857 
6350,5390 
1463,71 
7472,2099 
5708,5161 
5998,1950 
2302,6391 
4105,7667 
9538,6825 
7686,3891 
3877,8834 
7273,5689 
2010,4034 
5053,109 
9436,7611 
2651,1744 
8746,5424 
3573,2814 
5232,5111 
9273,6891 
83,3841 
5122,5068 
4792,1494 
882,8679 
5453,6530 
9281,5688 
5321,9952 
568,8512 
990,3253 
8017,5636 
4027,5327 
7217,6613 
2520,9005 
4745,5636 
233,2001 
8495,8507 
4715,5767 
3677,3010 
346,6761 
3119,9442 
2941,4508 
6264,5378 
6331,2920 
4772,3413 
5917,786 
5949,1699 
2427,2591 
108,8996 
1157,7864 
6773,9975 
6691,6306 
6263,845 
186,8014 
5812,7097 
2115,4018 
6128,5004 
6626,8019 
8006,6392 
6030,6941 
104,4261 
9747,7132 
2660,9498 
1145,2292 
6853,7704 
1644,8457 
6806,1749 
9676,7518 
7668,4705 
2356,8134 
3927,7274 
69,5857 
1036,6577 
198,1820 
6289,8321 
6418,5138 
6533,1270 
5387,7480 
2499,9310 
1739,4688 
5482,222 
4650,3852 
5959,3746 
3277,3840 
317,8429 
1177,3568 
6005,8069 
5251,7700 
1793,9788 
9081,2427 
2315,9276 
1054,1978 
2180,8374 
2209,8869 
3670,8808 
3916,7459 
965,2934 
5488,5920 
3861,765 
6284,6470 
3134,884 
0,2722 
1015,9599 
6664,7576 
9041,6367 
4041,617 
3918,6157 
2848,4093 
4096,5487 
4326,2265 
9578,86 
1994,3942 
7419,2996 
4101,2401 
1751,8126 
3828,9824 
5842,8020 
3423,4497 
5976,1958 
6048,1736 
2763,9090 
7155,7477 
9223,2961 
2970,3880 
5868,9247 
5640,9230 
369,2536 
1051,2869 
3345,9772 
9641,6627 
520,2621 
2873,9445 
3850,1049 
2646,5164 
6765,5223 
6542,3430 
8146,3366 
7546,2050 
1072,1019 
2762,8980 
